Skelbimo pavadinimas,Rajonas,Kambarių skaičius,Nuomos kaina,Plotas,Metai
2 kambarių butas Vilniuje,Naujamiestyje,2 ,830€,55.93 ,2021
3 kambarių butas Vilniuje,Naujamiestyje,3 ,830€,55.93 ,2021
2 kambarių butas Vilniuje,Šnipiškėse,2 ,990€,82.88 ,2004
1 kambario butas Vilniuje,Jeruzalėje,1 ,390€,36.00 ,1991
1 kambario butas Vilniuje,Pilaitėje,1 ,600€,39.00 ,2009
1 kambario butas Vilniuje,Naujamiestyje,1 ,530€,45.00 ,2009
3 kambarių butas Vilniuje,Užupyje,3 ,1300€,79.00 ,2019
3 kambarių butas Vilniuje,Žirmūnuose,3 ,570€,57.00 ,1970
4 kambarių butas Vilniuje,Užupyje,4 ,2000€,85.34 ,2020
3 kambarių butas Vilniuje,Senamiestyje,3 ,1800€,130.00 ,2005
3 kambarių butas Vilniuje,Senamiestyje,3 ,1000€,83.00 ,2004
2 kambarių butas Vilniuje,Senamiestyje,2 ,750€,40.00 ,1957
2 kambarių butas Vilniuje,Naujoji Vilnia,2 ,550€,46.75 ,1968
2 kambarių butas Vilniuje,Naujamiestyje,2 ,800€,47.08 ,2021
2 kambarių butas Vilniuje,Naujamiestyje,2 ,550€,45.00 ,1972
2 kambarių butas Vilniuje,Senamiestyje,2 ,699€,44.13 ,2020
1 kambario butas Vilniuje,Fabijoniškėse,1 ,430€,37.00 ,1988
2 kambarių butas Vilniuje,Šnipiškėse,2 ,1399€,58.00 ,2018
2 kambarių butas Vilniuje,Viršuliškėse,2 ,450€,48.44 ,1978
5 kambarių butas Vilniuje,Visoriuose,5 ,1300€,135.00 ,2000
3 kambarių butas Vilniuje,Užupyje,3 ,990€,70.00 ,1940
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,680€,44.00 ,2006
2 kambarių butas Vilniuje,Žirmūnuose,2 ,700€,40.00 ,0000
2 kambarių butas Vilniuje,Šnipiškėse,2 ,700€,40.00 ,2021
1 kambario butas Vilniuje,Naujininkuose,1 ,250€,12.00 ,1968
3 kambarių butas Vilniuje,Naujamiestyje,3 ,670€,62.00 ,1987
2 kambarių butas Vilniuje,Pašilaičiuose,2 ,400€,55.00 ,1986
2 kambarių butas Vilniuje,Šnipiškėse,2 ,900€,46.00 ,2019
2 kambarių butas Vilniuje,Senamiestyje,2 ,650€,40.00 ,1940
2 kambarių butas Vilniuje,Naujamiestyje,2 ,850€,51.00 ,2015
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,51.00 ,2015
